label,isCode,wordsLen,ZeroLen,OneLen,WordsWithSameSizeLen,TotalWordsSize,TotalDiffRatio,TotalDistancedeLevenshtein,TotalSimilarityendstart
"['1011010', '0010', '001101', '0011', '0001101', '1010', '1110110']",1,7,19,20,6,39,14.325874125874126,58,70
"['110', '1000101', '000000', '11']",1,4,11,7,0,18,2.482051282051282,24,12
"['0010', '0101111', '001111', '010001', '0111011', '011011', '01010', '000', '1100', '01100']",1,10,26,27,9,53,28.23046398046398,124,160
['00100'],1,1,4,1,0,5,0,0,0
['100'],1,1,2,1,0,3,0,0,0
"['1', '10']",1,2,1,2,0,3,0.6666666666666666,1,2
"['01', '11011', '00', '0000110', '001011']",1,5,12,10,2,22,5.0886890886890885,34,27
"['011', '100101', '10', '110', '1110']",1,5,7,11,2,18,5.973015873015873,23,28
['10101'],1,1,2,3,0,5,0,0,0
"['101100', '100', '1']",1,3,5,5,0,10,1.4523809523809523,10,9
"['1011', '100']",1,2,3,4,0,7,0.5714285714285714,2,3
"['1001', '000010']",1,2,7,3,0,10,0.6,3,0
"['1001110', '11001', '101000', '100', '1011100']",1,5,14,14,2,28,6.919030969030969,30,32
"['0111001', '0101000', '00101', '1', '1000010', '111101']",1,6,17,16,3,33,7.297286047286047,58,34
['10100'],1,1,3,2,0,5,0,0,0
"['1000011', '110', '0111', '0101001']",1,4,10,11,2,21,3.2155844155844155,21,16
"['011', '00011', '100', '111111', '0111110']",1,5,8,16,2,24,4.8828671328671325,36,27
['0001100'],1,1,5,2,0,7,0,0,0
"['0', '1011110', '01010', '11']",1,4,6,9,0,15,2.265873015873016,23,11
"['101100', '11', '100', '1101', '0101']",1,5,8,11,2,19,5.992857142857143,24,29
['1000'],1,1,3,1,0,4,0,0,0
"['10100', '0111111', '1001']",1,3,6,10,0,16,1.3636363636363635,12,7
"['1110000', '11100', '010110', '1111']",1,4,9,13,0,22,3.7881118881118883,18,23
"['0010', '100']",1,2,5,2,0,7,0.5714285714285714,2,3
"['01', '110001', '0011010', '0000000', '10', '1110']",1,6,17,11,4,28,6.808957708957709,60,35
"['0', '1001111', '11001']",1,3,5,8,0,13,1.25,14,5
"['110000', '11110', '00101', '101', '10001', '101011', '1000110', '1101110', '0001010']",1,9,25,26,8,51,22.22902652902653,109,107
"['01', '0011110', '11101']",1,3,5,9,0,14,1.6825396825396823,12,5
['0110001'],1,1,4,3,0,7,0,0,0
"['1111100', '1011001', '111', '000010', '0101']",1,5,12,15,2,27,5.14010434010434,38,24
"['10000', '10110', '011']",1,3,7,6,2,13,1.6,8,7
['101'],1,1,1,2,0,3,0,0,0
"['1', '1110000', '0001', '1101101', '0011010', '10011']",1,6,15,16,3,31,7.295021645021645,60,38
"['0001', '001', '11']",1,3,5,4,0,9,1.5904761904761904,6,9
"['0011', '010', '0000110', '0000']",1,4,13,5,2,18,3.6974025974025975,16,28
"['01', '110010', '010', '0010000', '1111', '10011']",1,6,14,13,0,27,7.77050727050727,49,34
"['0011', '1100001', '0101', '11']",1,4,8,9,2,17,3.6186868686868685,19,20
['0100111'],1,1,3,4,0,7,0,0,0
"['0100110', '011', '1111']",1,3,5,9,0,14,1.535064935064935,10,7
"['100100', '1100', '0110', '11']",1,4,8,8,2,16,3.583333333333333,15,14
"['10100', '000', '01100']",1,3,9,4,2,13,1.8,6,14
"['1101001', '111111', '0111', '0100']",1,4,7,14,2,21,3.188111888111888,20,18
"['0010', '0010111', '100', '0001100', '001110']",1,5,16,11,2,27,6.38030858030858,30,46
"['011111', '010101', '1001']",1,3,6,10,2,16,1.4666666666666668,8,8
"['000100', '100', '010110']",1,3,10,5,2,15,2.0,8,11
"['0001', '0111010', '1100', '011']",1,4,9,9,2,18,3.3337662337662337,19,16
['001001'],1,1,4,2,0,6,0,0,0
['010101'],1,1,3,3,0,6,0,0,0
"['001001', '1']",1,2,4,3,0,7,0.2857142857142857,5,2
"['0', '001001', '101110']",1,3,7,6,2,13,1.0714285714285714,14,6
"['11', '0011', '0110', '1010111', '11101']",1,5,7,15,2,22,5.983044733044733,29,30
"['0010010', '1', '10']",1,3,6,4,0,10,1.3611111111111112,12,5
"['01', '1', '000']",1,3,4,2,0,6,1.0666666666666667,6,4
"['0010001', '01', '1000110', '100111', '1101010']",1,5,15,14,3,29,5.5476190476190474,39,25
"['010100', '011', '100010', '00', '00010', '110', '111001']",1,7,18,13,5,31,11.482539682539683,63,57
"['000110', '11011', '101', '10']",1,4,7,9,0,16,3.6113275613275615,17,12
"['1000001', '01', '1']",1,3,6,4,0,10,1.3611111111111112,12,9
"['01', '00', '1111101', '1101']",1,4,5,10,2,15,2.893939393939394,20,16
"['0100111', '10111', '0011110', '100', '10000', '0111']",1,6,14,17,4,31,8.715656565656566,48,45
['1101000'],1,1,4,3,0,7,0,0,0
"['0', '01']",1,2,2,1,0,3,0.6666666666666666,1,2
"['101100', '01', '001', '1110']",1,4,7,8,0,15,3.1634920634920634,17,14
"['0101010', '000000', '111001']",1,3,12,7,2,19,1.2564102564102564,11,4
['0001'],1,1,3,1,0,4,0,0,0
"['10101', '0100']",1,2,5,4,0,9,0.6666666666666666,2,0
"['1001101', '00', '011001', '0111101', '1100']",1,5,12,14,2,26,6.0453657453657454,34,27
"['001', '1', '10101', '100000', '0111']",1,5,10,9,0,19,4.447041847041847,32,25
['101110'],1,1,2,4,0,6,0,0,0
"['011', '011101', '100110', '00', '011111', '010011', '111000']",1,7,15,20,5,35,11.927777777777777,69,62
"['111010', '0111']",1,2,3,7,0,10,0.6,3,4
"['1110111', '01', '1000111', '1000000', '000', '0011011', '1100']",1,7,19,18,4,37,10.327849927849927,83,66
"['101100', '111', '00001', '00110', '10100', '10', '01100']",1,7,17,14,4,31,11.403535353535354,58,60
"['011100', '11', '101011', '10101', '01000']",1,5,11,13,4,24,5.684415584415584,31,24
"['1', '01011', '1110']",1,3,3,7,0,10,1.1777777777777778,10,7
['10000'],1,1,4,1,0,5,0,0,0
"['0', '0100011', '01110', '00011']",1,4,10,8,2,18,2.85,23,19
"['110000', '00101', '111', '10000', '010010', '0000011', '110111']",1,7,21,17,5,38,11.634226884226884,68,69
"['110011', '1011', '11001', '0']",1,4,6,10,0,16,3.394805194805195,17,21
"['0111111', '010', '1']",1,3,3,8,0,11,1.15,13,5
"['1011010', '01', '0101010', '11']",1,4,8,10,4,18,2.992063492063492,23,14
"['1011', '1', '01100']",1,3,4,6,0,10,1.4,10,4
['010'],1,1,2,1,0,3,0,0,0
"['0010', '01101', '100001', '1000', '1011', '000100']",1,6,18,11,5,29,8.903535353535354,40,38
"['11', '1101', '01110', '0000']",1,4,7,8,2,15,2.599206349206349,18,10
"['01', '111', '100100', '0010011', '1000010']",1,5,14,11,2,25,5.143223443223444,37,25
"['11000', '0100000', '101', '10']",1,4,11,6,0,17,3.3825396825396825,20,13
"['00111', '1100001', '0101100']",1,3,10,9,2,19,1.7380952380952381,11,6
"['001101', '01000']",1,2,7,4,0,11,0.5454545454545454,3,3
"['1011', '01001', '0111']",1,3,5,8,2,13,2.083333333333333,6,8
"['00110', '1', '0010100']",1,3,8,5,0,13,1.4166666666666667,12,7
"['1011011', '01110']",1,2,4,8,0,12,0.6666666666666666,3,0
"['0001011', '0111110']",1,2,6,8,2,14,0.42857142857142855,4,2
"['111011', '100', '000', '0111100']",1,4,9,10,2,19,2.948717948717949,22,16
"['0101101', '010100', '11']",1,3,7,8,0,15,1.7136752136752138,11,7
"['1', '0001110', '101011', '01010', '0110011']",1,5,12,14,2,26,4.970862470862471,40,20
"['11001', '010', '100001', '01111', '00', '10011', '011110', '0001011', '000111', '101001']",1,10,25,26,7,51,26.777289377289378,139,121
"['00101', '10011']",1,2,5,5,2,10,0.8,2,2
"['00', '0110', '11010']",1,3,6,5,0,11,1.9047619047619047,7,9
"['00011', '1000111', '000', '01001', '01000']",1,5,16,9,3,25,6.966666666666667,26,32
"['00010', '00', '1111']",1,3,6,5,0,11,0.7936507936507936,11,6
"['101010', '0011']",1,2,5,5,0,10,0.6,3,2
"['001', '11', '101010', '11000', '1000']",1,5,11,9,0,20,5.736796536796537,25,28
['100110'],1,1,3,3,0,6,0,0,0
"['11001', '11', '1010100', '0111111', '010110', '000', '000001', '01100', '0111100']",1,9,24,24,7,48,18.50104895104895,125,108
"['1000001', '1101110', '1010111', '1010', '1011100', '0111110']",1,6,16,23,5,39,9.233766233766234,50,44
"['0', '11010', '100']",1,3,5,4,0,9,1.5833333333333333,8,6
['1111'],1,1,0,4,0,4,0,0,0
"['110', '10']",1,2,2,3,0,5,0.8,1,3
"['01', '00110', '01110', '110011']",1,4,8,10,2,18,3.7155844155844155,18,13
"['001', '010101', '1', '0111100']",1,4,8,9,0,17,2.4955433455433456,24,13
"['0110101', '011001', '111', '0']",1,4,7,10,0,17,2.7254578754578755,22,14
"['10100', '00110', '0011111']",1,3,8,9,2,17,1.4,10,11
"['10', '11']",1,2,1,3,2,4,0.5,1,2
['010001'],1,1,4,2,0,6,0,0,0
"['0', '10', '00011']",1,3,5,3,0,8,1.2857142857142856,9,6
['11100'],1,1,2,3,0,5,0,0,0
"['110100', '10', '000', '0111', '110', '01100']",1,6,12,11,2,23,8.1502886002886,38,45
"['0', '101000', '01011', '11']",1,4,7,7,0,14,2.2359307359307357,21,12
"['101', '10']",1,2,2,3,0,5,0.8,1,3
['01101'],1,1,2,3,0,5,0,0,0
"['110110', '11110', '101']",1,3,4,10,0,14,1.712121212121212,7,9
"['01', '0001', '01010']",1,3,7,4,0,11,1.6825396825396823,7,8
['0111'],1,1,1,3,0,4,0,0,0
['1001101'],1,1,3,4,0,7,0,0,0
"['1110101', '10001', '0010010', '0']",1,4,11,9,2,20,2.738095238095238,26,9
"['1', '0011110', '100100', '0110', '1110100']",1,5,12,13,2,25,4.814485514485515,40,25
"['00011', '100', '110', '0100']",1,4,9,6,2,15,3.5396825396825395,14,17
"['100', '010', '11100', '111001']",1,4,8,9,2,17,3.936868686868687,15,16
"['001', '11111']",1,2,2,6,0,8,0.25,4,2
"['01', '11010', '1100110']",1,3,6,8,0,14,1.8492063492063493,10,9
"['101', '00', '1']",1,3,3,3,0,6,0.9,6,4
"['01', '001', '1', '0001', '0000']",1,5,10,4,2,14,5.545238095238095,20,29
"['0', '0010101']",1,2,5,3,0,8,0.25,6,2
"['1001110', '11011', '101011', '0011110', '000111']",1,5,12,19,4,31,7.068098568098568,26,30
"['1101000', '111100']",1,2,6,7,0,13,0.6153846153846154,2,4
"['01110', '11']",1,2,2,5,0,7,0.5714285714285714,3,0
"['010', '110001']",1,2,5,4,0,9,0.4444444444444444,4,0
"['1111100', '111100']",1,2,4,9,0,13,0.9230769230769231,1,10
"['0111010', '0011', '0001', '1101110', '1111010', '100111', '10', '000001']",1,8,20,23,7,43,14.4003996003996,101,79
"['010100', '001', '010000', '011100', '10011', '01000']",1,6,20,11,5,31,9.35,38,57
"['01', '000001']",1,2,6,2,0,8,0.5,4,3
"['0110001', '00001', '110011', '01010', '011010', '1110', '0100']",1,7,20,17,6,37,12.641491841491842,53,62
"['01', '1010', '0111']",1,3,4,6,2,10,1.8333333333333333,7,7
"['0010110', '110100', '0000']",1,3,11,6,0,17,1.7426573426573428,9,13
"['11010', '011', '110011', '000', '1011', '010011', '0101']",1,7,14,17,6,31,13.316378066378066,49,67
"['0', '1110101', '110', '10']",1,4,5,8,0,13,3.261111111111111,19,12
"['00101', '00011', '0101101', '101011', '111011', '010101', '00010']",1,7,19,21,6,40,14.147086247086246,48,64
"['0001110', '10000', '10100', '01011', '1110']",1,5,14,12,3,26,5.327272727272727,30,29
"['0', '0110001']",1,2,5,3,0,8,0.25,6,2
['111110'],1,1,1,5,0,6,0,0,0
"['0010', '11', '101', '1010101', '00110', '01000']",1,6,14,12,2,26,8.307359307359308,43,33
"['01', '001', '11', '10001', '000']",1,5,9,6,4,15,5.40952380952381,20,24
"['1111001', '1000', '011', '0000']",1,4,10,8,2,18,2.6305194805194807,21,15
"['0', '10010', '011110']",1,3,6,6,0,12,0.9826839826839826,12,9
"['0001', '00', '11']",1,3,5,3,2,8,1.0,7,6
"['11101', '011', '0111']",1,3,3,9,0,12,2.0238095238095237,6,12
"['0', '0011', '01111']",1,3,4,6,0,10,1.4,9,7
"['01', '111']",1,2,1,4,0,5,0.4,2,2
"['0010001', '10', '000']",1,3,9,3,0,12,1.4444444444444444,11,8
"['110', '110111']",1,2,2,7,0,9,0.6666666666666666,3,5
"['00111', '11000', '01010', '0110010', '01011']",1,5,14,13,4,27,5.933333333333334,27,33
"['0010110', '111', '00011', '10001', '00', '01010', '0111']",1,7,16,15,3,31,11.572438672438672,59,52
"['11000', '110001', '1101011', '1001', '100000']",1,5,15,13,2,28,6.9944055944055945,24,42
"['0', '0001', '11101']",1,3,5,5,0,10,1.1777777777777778,10,5
"['11001', '00101', '11', '100101', '01010']",1,5,11,12,3,23,6.577922077922078,27,28
"['00100', '011001', '00001']",1,3,11,5,2,16,1.8727272727272726,6,10
